State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
...,6,7,8,9,10,...
NSW,MURRINGO,2586,Riverina,,,
NSW,MURRULEBALE,2652,Riverina,,,
NSW,MURRUMBURRAH,2587,Riverina,,,
NSW,MUTTAMA,2722,Riverina,,,
NSW,NANGUS,2722,Riverina,,,
NSW,NARADHAN,2669,Riverina,,,
NSW,NARRABURRA,2666,Riverina,,,
NSW,NELUNGALOO,2876,Riverina,,,
NSW,NEVILLE,2799,Riverina,,,
NSW,NORTH WAGGA WAGGA,2650,Riverina,,,
NSW,NORTH YALGOGRIN,2671,Riverina,,,
NSW,NUBBA,2587,Riverina,,,
NSW,OBERNE CREEK,2650,Riverina,,,
NSW,OLD JUNEE,2652,Riverina,,,
NSW,OOMA,2871,Riverina,,,
NSW,OOTHA,2875,Riverina,,,
NSW,OSBORNE,2656,Riverina,,,
NSW,OURA,2650,Riverina,,,
NSW,PARKES,2870,Riverina,,,
NSW,PARKESBOROUGH,2870,Riverina,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,PAYTENS BRIDGE,2871,Riverina,,,
NSW,PEAK HILL,2869,Riverina,,,
NSW,PINEY RANGE,2810,Riverina,,,
NSW,PINNACLE,2810,Riverina,,,
NSW,PITSTONE,2594,Riverina,,,
NSW,PLEASANT HILLS,2658,Riverina,,,
NSW,PUCAWAN,2666,Riverina,,,
NSW,PULLABOOKA,2810,Riverina,,,
NSW,PULLETOP,2650,Riverina,,,
NSW,QUANDARY,2665,Riverina,,,
NSW,QUANDIALLA,2721,Riverina,,,
NSW,RANKINS SPRINGS,2669,Riverina,,,
NSW,RANNOCK,2701,Riverina,,,
NSW,REEFTON,2666,Riverina,,,
NSW,ROSEBERG,2793,Riverina,,,
NSW,ROWAN,2650,Riverina,,,
NSW,RYAN,2658,Riverina,,,
NSW,SAN ISIDORE,2650,Riverina,,,
NSW,SEBASTOPOL,2666,Riverina,,,
NSW,SOUTH GUNDAGAI,2722,Riverina,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,SPRINGDALE,2666,Riverina,,,
NSW,SPRINGVALE,2650,Riverina,,,
NSW,STOCKINBINGAL,2725,Riverina,,,
NSW,TALLIMBA,2669,Riverina,,,
NSW,TARA,2665,Riverina,,,
NSW,TARCUTTA,2652,Riverina,,,
NSW,TATTON,2650,Riverina,,,
NSW,TEMORA,2666,Riverina,,,
NSW,THE GAP,2650,Riverina,,,
NSW,THE ROCK,2655,Riverina,,,
NSW,THUDDUNGRA,2594,Riverina,,,
NSW,TICHBORNE,2870,Riverina,,,
NSW,TOLLAND,2650,Riverina,,,
NSW,TOOTOOL,2655,Riverina,,,
NSW,TREWILGA,2869,Riverina,,,
NSW,TRUNDLE,2875,Riverina,,,
NSW,TRUNGLEY HALL,2666,Riverina,,,
NSW,TUBBUL,2594,Riverina,,,
NSW,TULLAMORE,2874,Riverina,,,
NSW,TUMBLONG,2729,Riverina,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
NSW,TURVEY PARK,2650,Riverina,,,
NSW,UNGARIE,2669,Riverina,,,
NSW,URANGELINE,2656,Riverina,,,
NSW,URANGELINE EAST,2656,Riverina,,,
NSW,URANQUINTY,2652,Riverina,,,
NSW,WAGGA,2650,Riverina,,WAGGA WAGGA,
NSW,WAGGA WAGGA,2650,Riverina,,,
NSW,WALLACETOWN,2650,Riverina,,,
NSW,WALLENDBEEN,2588,Riverina,,,
NSW,WALLEROOBIE,2665,Riverina,,,
NSW,WANTABADGERY,2650,Riverina,,,
NSW,WANTIOOL,2663,Riverina,,,
NSW,WARRADERRY,2810,Riverina,,,
NSW,WARROO,2871,Riverina,,,
