State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
VIC,SANDY POINT,3959,Monash,,,
VIC,SEAVIEW,3821,Monash,,,
VIC,SHADY CREEK,3821,Monash,,,
VIC,SILVERLEAVES,3922,Monash,,,
VIC,SMITHS BEACH,3922,Monash,,,
VIC,SOUTH DUDLEY,3995,Monash,,,
VIC,ST CLAIR,3995,Monash,,,
VIC,STONY CREEK,3957,Monash,,,
VIC,STRZELECKI,3950,Monash,,,
VIC,SUMMERLANDS,3922,Monash,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
VIC,SUNDERLAND BAY,3922,Monash,,,
VIC,SUNSET STRIP,3922,Monash,,,
VIC,SURF BEACH,3922,Monash,,,
VIC,TANJIL,3825,Monash,,,
VIC,TANJIL BREN,3833,Monash,,,
VIC,TANJIL SOUTH,3825,Monash,,,
VIC,TARWIN,3956,Monash,,,
VIC,TARWIN LOWER,3956,Monash,,,
VIC,TENBY POINT,3984,Monash,,,
VIC,TETOORA ROAD,3821,Monash,,,
VIC,THALLOO,3825,Monash,,,
VIC,THE GURDIES,3984,Monash,,,
VIC,THORPDALE,3835,Monash,,,
VIC,THORPDALE SOUTH,3824,Monash,,,
VIC,TIDAL RIVER,3960,Monash,,,
VIC,TONIMBUK,3815,Monash,,,
VIC,TOOMBON,3825,Monash,,,
VIC,TOORA,3962,Monash,,,
VIC,TOORA NORTH,3962,Monash,,,
VIC,TOORADIN,3980,Monash,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
VIC,TOORONGO,3833,Monash,,,
VIC,TORWOOD,3821,Monash,,,
VIC,TRAFALGAR,3824,Monash,,,
VIC,TRAFALGAR EAST,3824,Monash,,,
VIC,TRAFALGAR SOUTH,3824,Monash,,,
VIC,TRIDA,3953,Monash,,,
VIC,TURTONS CREEK,3960,Monash,,,
VIC,TYNONG,3813,Monash,,,
VIC,TYNONG NORTH,3813,Monash,,,
VIC,VENTNOR,3922,Monash,,,
VIC,VENUS BAY,3956,Monash,,,
VIC,VERVALE,3814,Monash,,,
VIC,VESPER,3833,Monash,,,
VIC,WALHALLA,3825,Monash,,,
VIC,WALKERVILLE,3956,Monash,,,
VIC,WALKERVILLE NORTH,3956,Monash,,,
VIC,WALKERVILLE SOUTH,3956,Monash,,,
VIC,WARATAH BAY,3959,Monash,,,
VIC,WARRAGUL,3820,Monash,,,
VIC,WARRAGUL SOUTH,3821,Monash,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
VIC,WARRAGUL WEST,3821,Monash,,,
VIC,WATTLE BANK,3995,Monash,,,
VIC,WELSHPOOL,3966,Monash,,,
VIC,WEST CREEK,3992,Monash,,,
VIC,WESTBURY,3825,Monash,,,
VIC,WHITELAW,3950,Monash,,,
VIC,WILD DOG VALLEY,3953,Monash,,,
VIC,WILLOW GROVE,3825,Monash,,,
VIC,WILSONS PROMONTORY,3960,Monash,,,
VIC,WIMBLEDON HEIGHTS,3922,Monash,,,
VIC,WONGA,3960,Monash,,,
VIC,WONTHAGGI,3995,Monash,,,
VIC,WONYIP,3962,Monash,,,
VIC,WOODLEIGH,3945,Monash,,,
VIC,WOOLAMAI,3995,Monash,,,
VIC,WOORARRA EAST,3962,Monash,,,
VIC,WOORARRA WEST,3960,Monash,,,
VIC,WOOREEN,3953,Monash,,,
VIC,YALLOURN,3825,Monash,,,
VIC,YANAKIE,3960,Monash,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
VIC,YANNATHAN,3981,Monash,,,
VIC,YARRAGON,3823,Monash,,,
VIC,YARRAGON SOUTH,3823,Monash,,,
...910111213,...910111213,...910111213,...910111213,...910111213,...910111213,
...,9,10,11,12,13,
