id,postcode
639,2836
640,2838
641,2839
642,2840
643,2842
644,2843
645,2844
646,2845
647,2846
648,2847
649,2848
650,2849
651,2850
652,2852
653,2864
654,2865
655,2866
656,2867
657,2868
658,2869
659,2870
660,2871
661,2873
662,2874
663,2875
664,2876
665,2877
666,2878
667,2879
668,2880
669,2898
670,2899
671,2900
672,2902
673,2903
674,2904
675,2905
676,2906
677,2911
678,2912
679,2913
680,2914
681,3000
682,3002
683,3003
684,3004
685,3006
686,3008
687,3011
688,3012
689,3013
690,3015
691,3016
692,3018
693,3019
694,3020
695,3021
696,3022
697,3023
698,3024
699,3025
700,3026
701,3027
702,3028
703,3029
704,3030
705,3031
706,3032
707,3033
708,3034
709,3036
710,3037
711,3038
712,3039
713,3040
714,3041
715,3042
716,3043
717,3044
718,3045
719,3046
720,3047
721,3048
722,3049
723,3051
724,3052
725,3053
726,3054
727,3055
728,3056
729,3057
730,3058
731,3059
732,3060
733,3061
734,3062
735,3063
736,3064
737,3065
738,3066
739,3067
740,3068
741,3070
742,3071
743,3072
744,3073
745,3074
746,3075
747,3076
748,3078
749,3079
750,3081
751,3082
752,3083
753,3084
754,3085
755,3087
756,3088
757,3089
758,3090
759,3091
760,3093
761,3094
762,3095
763,3096
764,3097
765,3099
766,3101
767,3102
768,3103
769,3104
770,3105
771,3106
772,3107
773,3108
774,3109
775,3111
776,3113
777,3114
778,3115
779,3116
780,3121
781,3122
782,3123
783,3124
784,3125
785,3126
786,3127
787,3128
788,3129
789,3130
790,3131
791,3132
792,3133
793,3134
794,3135
795,3136
796,3137
797,3138
798,3139
799,3140
800,3141
801,3142
802,3143
803,3144
804,3145
805,3146
806,3147
807,3148
808,3149
809,3150
810,3151
811,3152
812,3153
813,3154
814,3155
815,3156
816,3158
817,3159
818,3160
819,3161
820,3162
821,3163
822,3165
823,3166
824,3167
825,3168
826,3169
827,3170
828,3171
829,3172
830,3173
831,3174
832,3175
833,3177
834,3178
835,3179
836,3180
837,3181
838,3182
839,3183
840,3184
841,3185
842,3186
843,3187
844,3188
845,3189
846,3190
847,3191
848,3192
849,3193
850,3194
851,3195
852,3196
853,3197
854,3198
855,3199
856,3200
857,3201
858,3202
859,3204
860,3205
861,3206
862,3207
863,3211
864,3212
865,3213
866,3214
867,3215
868,3216
869,3217
870,3218
871,3219
872,3220
873,3221
874,3222
875,3223
876,3224
877,3225
878,3226
879,3227
880,3228
881,3230
882,3231
883,3232
884,3233
885,3234
886,3235
887,3236
888,3237
889,3238
890,3239
891,3240
892,3241
893,3242
894,3243
895,3249
896,3250
897,3251
898,3254
899,3260
900,3264
901,3265
902,3266
903,3267
904,3268
905,3269
906,3270
907,3271
908,3272
909,3273
910,3274
911,3275
912,3276
913,3277
914,3278
915,3279
916,3280
917,3281
918,3282
919,3283
920,3284
921,3285
922,3286
923,3287
924,3289
925,3292
926,3293
927,3294
928,3300
929,3301
930,3302
931,3303
932,3304
933,3305
934,3309
935,3310
936,3311
937,3312
938,3314
939,3315
940,3317
941,3318
942,3319
943,3321
944,3322
945,3323
946,3324
947,3325
948,3328
949,3329
950,3330
951,3331
952,3332
953,3333
954,3334
955,3335
956,3336
957,3337
958,3338
959,3340
960,3341
961,3342
962,3345
963,3350
964,3351
965,3352
966,3355
967,3356
968,3357
969,3358
970,3360
971,3361
972,3363
973,3364
974,3370
975,3371
976,3373
977,3374
978,3375
979,3377
980,3378
981,3379
982,3380
983,3381
984,3384
985,3385
986,3387
987,3388
988,3390
989,3391
990,3392
991,3393
992,3395
993,3396
994,3400
995,3401
996,3407
997,3409
998,3412
999,3413
1000,3414
1001,3415
1002,3418
1003,3419
1004,3420
1005,3423
1006,3424
1007,3427
1008,3428
1009,3429
1010,3430
1011,3431
1012,3432
1013,3433
1014,3434
1015,3435
1016,3437
1017,3438
1018,3440
1019,3441
1020,3442
1021,3444
1022,3446
1023,3447
1024,3448
1025,3450
1026,3451
1027,3453
1028,3458
1029,3460
1030,3461
1031,3462
1032,3463
1033,3464
1034,3465
1035,3467
1036,3468
1037,3469
1038,3472
1039,3475
1040,3477
1041,3478
1042,3480
1043,3482
1044,3483
1045,3485
1046,3487
1047,3488
1048,3489
1049,3490
1050,3491
1051,3494
1052,3496
1053,3498
1054,3500
1055,3501
1056,3505
1057,3506
1058,3507
1059,3509
1060,3512
1061,3515
1062,3516
1063,3517
1064,3518
1065,3520
1066,3521
1067,3522
1068,3523
1069,3525
1070,3527
1071,3529
1072,3530
1073,3531
1074,3533
1075,3537
1076,3540
1077,3542
1078,3544
1079,3546
1080,3549
1081,3550
1082,3551
1083,3555
1084,3556
1085,3557
1086,3558
1087,3559
1088,3561
1089,3562
1090,3563
1091,3564
1092,3565
1093,3566
1094,3567
1095,3568
1096,3570
1097,3571
1098,3572
1099,3573
1100,3575
1101,3576
1102,3579
1103,3580
1104,3581
1105,3583
1106,3584
1107,3585
1108,3586
1109,3588
1110,3589
1111,3590
1112,3591
1113,3594
1114,3595
1115,3596
1116,3597
1117,3599
1118,3607
1119,3608
1120,3610
1121,3612
1122,3614
1123,3616
1124,3617
1125,3618
1126,3620
1127,3621
1128,3622
1129,3623
1130,3624
1131,3629
1132,3630
1133,3631
1134,3633
1135,3634
1136,3635
1137,3636
1138,3637
1139,3638
1140,3639
1141,3640
1142,3641
1143,3644
1144,3646
1145,3647
1146,3649
1147,3658
1148,3659
1149,3660
1150,3662
1151,3663
1152,3664
1153,3665
1154,3666
1155,3669
1156,3670
1157,3672
1158,3673
1159,3675
1160,3677
1161,3678
1162,3682
1163,3683
1164,3685
1165,3687
1166,3688
1167,3690
1168,3691
1169,3695
1170,3697
1171,3698
1172,3699
1173,3700
1174,3701
1175,3704
1176,3705
1177,3707
1178,3708
1179,3709
1180,3711
1181,3712
1182,3713
1183,3714
1184,3715
1185,3717
1186,3718
1187,3719
1188,3720
1189,3722
1190,3723
1191,3725
1192,3726
1193,3727
1194,3728
1195,3730
1196,3732
1197,3733
1198,3735
1199,3737
1200,3738
1201,3739
1202,3740
1203,3741
1204,3744
1205,3746
1206,3747
1207,3749
1208,3750
1209,3751
1210,3752
1211,3753
1212,3754
1213,3755
1214,3756
1215,3757
1216,3758
1217,3759
1218,3760
1219,3761
1220,3762
1221,3763
1222,3764
1223,3765
1224,3766
1225,3767
1226,3770
1227,3775
1228,3777
1229,3778
1230,3779
1231,3781
1232,3782
1233,3783
1234,3785
1235,3786
1236,3787
1237,3788
1238,3789
1239,3791
1240,3792
1241,3793
1242,3795
1243,3796
1244,3797
1245,3799
1246,3802
1247,3803
1248,3804
1249,3805
1250,3806
1251,3807
1252,3808
1253,3809
1254,3810
1255,3812
1256,3813
1257,3814
1258,3815
1259,3816
1260,3818
1261,3820
1262,3821
1263,3822
1264,3823
1265,3824
1266,3825
1267,3831
1268,3832
1269,3833
1270,3835
1271,3840
1272,3842
1273,3844
1274,3847
1275,3850
1276,3851
1277,3852
1278,3854
1279,3856
1280,3857
1281,3858
1282,3859
1283,3860
1284,3862
1285,3864
1286,3865
1287,3869
1288,3870
1289,3871
1290,3873
1291,3874
1292,3875
1293,3878
1294,3880
1295,3882
1296,3885
1297,3886
1298,3887
1299,3888
1300,3889
1301,3890
1302,3891
1303,3892
1304,3893
1305,3895
1306,3896
1307,3898
1308,3900
1309,3902
1310,3903
1311,3904
1312,3909
1313,3910
1314,3911
1315,3912
1316,3913
1317,3915
1318,3916
1319,3918
1320,3919
1321,3920
1322,3921
1323,3922
1324,3923
1325,3925
1326,3926
1327,3927
1328,3928
1329,3929
1330,3930
1331,3931
1332,3933
1333,3934
1334,3936
1335,3937
1336,3938
1337,3939
1338,3940
1339,3941
1340,3942
1341,3943
1342,3944
1343,3945
1344,3946
1345,3950
1346,3951
1347,3953
1348,3954
1349,3956
1350,3957
1351,3958
1352,3959
1353,3960
1354,3962
1355,3964
1356,3965
1357,3966
1358,3967
1359,3971
1360,3975
1361,3976
1362,3977
1363,3978
1364,3979
1365,3980
1366,3981
1367,3984
1368,3987
1369,3988
1370,3990
1371,3991
1372,3992
1373,3995
1374,3996
1375,4000
1376,4005
1377,4006
1378,4007
1379,4008
1380,4009
1381,4010
1382,4011
1383,4012
1384,4013
1385,4014
1386,4017
1387,4018
1388,4019
1389,4020
1390,4021
1391,4022
1392,4025
1393,4030
1394,4031
1395,4032
1396,4034
1397,4035
1398,4036
1399,4037
1400,4051
1401,4053
1402,4054
1403,4055
1404,4059
1405,4060
1406,4061
1407,4064
1408,4065
1409,4066
1410,4067
1411,4068
1412,4069
1413,4070
1414,4073
1415,4074
1416,4075
1417,4076
1418,4077
1419,4078
1420,4101
1421,4102
1422,4103
1423,4104
1424,4105
1425,4106
1426,4107
1427,4108
1428,4109
1429,4110
1430,4111
1431,4112
1432,4113
1433,4114
1434,4115
1435,4116
1436,4117
1437,4118
1438,4119
1439,4120
1440,4121
1441,4122
1442,4123
1443,4124
1444,4125
1445,4127
1446,4128
1447,4129
1448,4130
1449,4131
1450,4132
1451,4133
1452,4151
1453,4152
1454,4153
1455,4154
1456,4155
1457,4156
