id,postcode
1,0822
2,0828
3,0830
4,0845
5,0846
6,0852
7,0862
8,0870
9,0872
10,0880
11,0885
12,2000
13,2001
14,2006
15,2007
16,2008
17,2009
18,2010
19,2011
20,2015
21,2016
22,2017
23,2018
24,2019
25,2020
26,2021
27,2022
28,2023
29,2024
30,2025
31,2026
32,2027
33,2028
34,2029
35,2030
36,2031
37,2032
38,2033
39,2034
40,2035
41,2036
42,2037
43,2038
44,2039
45,2040
46,2041
47,2042
48,2043
49,2044
50,2045
51,2046
52,2047
53,2048
54,2049
55,2050
56,2052
57,2060
58,2061
59,2062
60,2063
61,2064
62,2065
63,2066
64,2067
65,2068
66,2069
67,2070
68,2071
69,2072
70,2073
71,2074
72,2075
73,2076
74,2077
75,2079
76,2080
77,2081
78,2082
79,2083
80,2084
81,2085
82,2086
83,2087
84,2088
85,2089
86,2090
87,2092
88,2093
89,2094
90,2095
91,2096
92,2097
93,2099
94,2100
95,2101
96,2102
97,2103
98,2104
99,2105
100,2106
101,2107
102,2108
103,2110
104,2111
105,2112
106,2113
107,2114
108,2115
109,2116
110,2117
111,2118
112,2119
113,2120
114,2121
115,2122
116,2125
117,2126
118,2127
119,2128
120,2129
121,2130
122,2131
123,2132
124,2133
125,2134
126,2135
127,2136
128,2137
129,2138
130,2140
131,2141
132,2142
133,2143
134,2144
135,2145
136,2146
137,2147
138,2148
139,2150
140,2151
141,2152
142,2153
143,2154
144,2155
145,2156
146,2157
147,2158
148,2159
149,2160
150,2161
151,2162
152,2163
153,2164
154,2165
155,2166
156,2167
157,2168
158,2170
159,2171
160,2172
161,2173
162,2174
163,2175
164,2176
165,2177
166,2178
167,2179
168,2190
169,2191
170,2192
171,2193
172,2194
173,2195
174,2196
175,2197
176,2198
177,2199
178,2200
179,2203
180,2204
181,2205
182,2206
183,2207
184,2208
185,2209
186,2210
187,2211
188,2212
189,2213
190,2214
191,2216
192,2217
193,2218
194,2219
195,2220
196,2221
197,2222
198,2223
199,2224
200,2225
201,2226
202,2227
203,2228
204,2229
205,2230
206,2231
207,2232
208,2233
209,2234
210,2250
211,2251
212,2256
213,2257
214,2258
215,2259
216,2260
217,2261
218,2262
219,2263
220,2264
221,2265
222,2278
223,2280
224,2281
225,2282
226,2283
227,2284
228,2285
229,2286
230,2287
231,2289
232,2290
233,2291
234,2292
235,2293
236,2294
237,2295
238,2296
239,2297
240,2298
241,2299
242,2300
243,2302
244,2303
245,2304
246,2305
247,2306
248,2307
249,2308
250,2311
251,2314
252,2315
253,2316
254,2317
255,2318
256,2319
257,2320
258,2321
259,2322
260,2323
261,2324
262,2325
263,2326
264,2327
265,2328
266,2329
267,2330
268,2333
269,2334
270,2335
271,2336
272,2337
273,2338
274,2339
275,2340
276,2342
277,2343
278,2344
279,2345
280,2346
281,2347
282,2350
283,2351
284,2355
285,2357
286,2358
287,2359
288,2360
289,2361
290,2365
291,2369
292,2370
293,2371
294,2372
295,2380
296,2381
297,2382
298,2386
299,2387
300,2388
301,2390
302,2395
303,2396
304,2397
305,2399
306,2400
307,2402
308,2403
309,2404
310,2405
311,2409
312,2411
313,2420
314,2422
315,2423
316,2424
317,2425
318,2426
319,2427
320,2428
321,2429
322,2430
323,2431
324,2439
325,2440
326,2441
327,2443
328,2444
329,2445
330,2446
331,2447
332,2448
333,2449
334,2450
335,2452
336,2453
337,2454
338,2456
339,2460
340,2462
341,2463
342,2464
343,2469
344,2470
345,2471
346,2472
347,2474
348,2476
349,2477
350,2478
351,2479
352,2480
353,2481
354,2482
355,2483
356,2484
357,2486
358,2487
359,2488
360,2489
361,2490
362,2500
363,2502
364,2505
365,2506
366,2508
367,2515
368,2516
369,2517
370,2518
371,2519
372,2525
373,2526
374,2527
375,2528
376,2529
377,2530
378,2533
379,2534
380,2535
381,2536
382,2537
383,2538
384,2539
385,2540
386,2541
387,2545
388,2546
389,2548
390,2549
391,2550
392,2551
393,2555
394,2556
395,2557
396,2558
397,2559
398,2560
399,2563
400,2564
401,2565
402,2566
403,2567
404,2568
405,2569
406,2570
407,2571
408,2572
409,2574
410,2575
411,2576
412,2577
413,2578
414,2579
415,2580
416,2581
417,2582
418,2583
419,2584
420,2585
421,2586
422,2587
423,2590
424,2594
425,2600
426,2601
427,2602
428,2603
429,2604
430,2605
431,2606
432,2607
433,2609
434,2611
435,2612
436,2614
437,2615
438,2617
439,2618
440,2620
441,2621
442,2622
443,2623
444,2624
445,2626
446,2628
447,2629
448,2630
449,2631
450,2632
451,2640
452,2641
453,2642
454,2644
455,2645
456,2646
457,2648
458,2650
459,2651
460,2652
461,2653
462,2655
463,2656
464,2658
465,2659
466,2660
467,2663
468,2665
469,2666
470,2668
471,2669
472,2671
473,2672
474,2675
475,2678
476,2680
477,2700
478,2701
479,2702
480,2705
481,2706
482,2707
483,2710
484,2711
485,2712
486,2713
487,2714
488,2715
489,2716
490,2717
491,2720
492,2721
493,2722
494,2727
495,2729
496,2730
497,2731
498,2732
499,2733
500,2734
501,2736
502,2737
503,2738
504,2739
505,2745
506,2747
507,2748
508,2749
509,2750
510,2753
511,2754
512,2755
513,2756
514,2757
515,2758
516,2759
517,2760
518,2761
519,2762
520,2763
521,2765
522,2766
523,2767
524,2768
525,2769
526,2770
527,2773
528,2774
529,2775
530,2776
531,2777
532,2778
533,2779
534,2780
535,2782
536,2783
537,2784
538,2785
539,2786
540,2787
541,2790
542,2791
543,2792
544,2793
545,2794
546,2795
547,2798
548,2799
549,2800
550,2803
551,2804
552,2805
553,2806
554,2809
555,2810
556,2820
557,2821
558,2822
559,2823
560,2824
561,2825
562,2826
563,2827
564,2828
565,2829
566,2830
567,2831
568,2832
569,2833
570,2835
571,2839
572,2840
573,2843
574,2844
575,2846
576,2848
577,2849
578,2850
579,2852
580,2864
581,2865
582,2866
583,2867
584,2868
585,2870
586,2871
587,2873
588,2874
589,2875
590,2876
591,2877
592,2878
593,2880
594,2898
595,2899
596,2900
597,2902
598,2903
599,2904
600,2905
601,2906
602,2911
603,2912
604,2913
605,2914
606,3000
607,3002
608,3003
609,3004
610,3006
611,3008
612,3011
613,3012
614,3013
615,3015
616,3016
617,3018
618,3019
619,3020
620,3021
621,3022
622,3023
623,3024
624,3025
625,3026
626,3027
627,3028
628,3029
629,3030
630,3031
631,3032
632,3033
633,3034
634,3036
635,3037
636,3038
637,3039
638,3040
639,3041
640,3042
641,3043
642,3044
643,3045
644,3046
645,3047
646,3048
647,3049
648,3051
649,3052
650,3053
651,3054
652,3055
653,3056
654,3057
655,3058
656,3059
657,3060
658,3061
659,3062
660,3063
661,3064
662,3065
663,3066
664,3067
665,3068
666,3070
667,3071
668,3072
669,3073
670,3074
671,3075
672,3076
673,3078
674,3079
675,3081
676,3082
677,3083
678,3084
679,3085
680,3087
681,3088
682,3089
683,3090
684,3091
685,3093
686,3094
687,3095
688,3096
689,3097
690,3099
691,3101
692,3102
693,3103
694,3104
695,3105
696,3106
697,3107
698,3108
699,3109
700,3111
701,3113
702,3114
703,3115
704,3116
705,3121
706,3122
707,3123
708,3124
709,3125
710,3126
711,3127
712,3128
713,3129
714,3130
715,3131
716,3132
717,3133
718,3134
719,3135
720,3136
721,3137
722,3138
723,3139
724,3140
725,3141
