electorate_id,locality_suburb_id,postcode_id,state_id
5,3039,1693,5
5,3056,1709,5
5,3146,1678,5
5,3195,1717,5
5,3208,1676,5
5,3262,1690,5
5,3327,1698,5
5,3411,1725,5
5,3447,1695,5
5,3497,1715,5
5,3537,1707,5
6,403,181,2
6,677,191,2
6,713,183,2
6,714,183,2
6,980,170,2
6,1110,185,2
6,1113,183,2
6,1114,183,2
6,1720,191,2
6,2279,172,2
6,2329,171,2
6,2427,193,2
6,2746,182,2
6,3645,179,2
6,3717,182,2
6,4847,171,2
6,4850,195,2
6,5181,184,2
6,5212,192,2
6,5273,191,2
6,5652,180,2
6,6398,197,2
6,6604,191,2
6,6977,49,2
6,7081,181,2
6,7089,182,2
6,7338,181,2
7,92,2107,6
7,104,2121,6
7,526,2113,6
7,528,2126,6
7,657,2123,6
7,672,2124,6
7,852,2126,6
7,872,2126,6
7,889,2110,6
7,939,2111,6
7,969,2112,6
7,1135,2113,6
7,1218,2134,6
7,1270,2127,6
7,1300,2102,6
7,1320,2113,6
7,1329,2118,6
7,1446,2122,6
7,1658,2119,6
7,1705,2129,6
7,1712,2120,6
7,2058,2102,6
7,2338,2115,6
7,2356,2122,6
7,2715,2126,6
7,2724,2122,6
7,3251,2118,6
7,3430,2113,6
7,3481,2122,6
7,3496,2127,6
7,3526,2110,6
7,3754,2109,6
7,3880,2113,6
7,3976,2127,6
7,4105,2126,6
7,4123,2118,6
7,4147,2127,6
7,4239,2111,6
7,4280,2122,6
7,4334,2127,6
7,4377,2112,6
7,4458,2128,6
7,4485,2126,6
7,4507,2129,6
7,4707,2122,6
7,4754,2110,6
7,4787,2127,6
7,4892,2107,6
7,4951,2118,6
7,5007,2118,6
7,5035,2124,6
7,5056,2126,6
7,5077,2126,6
7,5150,2113,6
7,5174,2108,6
7,5283,2113,6
7,5285,2113,6
7,5310,2124,6
7,5328,2127,6
7,5349,2109,6
7,5365,2112,6
7,5370,2113,6
7,5374,2110,6
7,5375,2129,6
7,5376,2121,6
7,5406,2118,6
7,5411,2125,6
7,5439,2113,6
7,5454,2127,6
7,5478,2111,6
7,5500,2124,6
7,5511,2113,6
7,5512,2110,6
7,5679,2107,6
7,5725,2113,6
7,5876,2122,6
7,5925,2110,6
7,5994,2107,6
7,6044,2122,6
7,6053,2117,6
7,6054,2117,6
7,6058,2118,6
7,6119,2107,6
7,6122,2109,6
7,6187,2125,6
7,6202,2118,6
7,6229,2109,6
7,6230,2127,6
7,6235,2117,6
7,6319,2113,6
7,6367,2117,6
7,6435,2122,6
7,6436,2112,6
7,6437,2110,6
7,6495,2109,6
7,6497,2108,6
7,6498,2113,6
7,6530,2113,6
7,6538,2109,6
7,6561,2116,6
8,674,601,1
8,925,438,1
8,1443,600,1
8,1524,440,1
8,2231,600,1
8,2591,434,1
8,2656,431,1
8,2676,600,1
8,2926,601,1
8,3009,434,1
8,3080,434,1
8,3083,440,1
8,3121,434,1
8,3122,434,1
8,3472,434,1
8,3637,434,1
8,3981,599,1
8,4013,432,1
8,4063,434,1
8,4264,600,1
8,4412,601,1
8,4429,599,1
8,4490,596,1
8,4764,425,1
8,4774,434,1
8,4828,440,1
8,4905,432,1
8,4906,600,1
8,4943,433,1
8,5005,597,1
8,5536,599,1
8,5677,432,1
8,5830,434,1
8,5834,599,1
8,5975,434,1
8,6150,595,1
8,6242,431,1
8,6302,598,1
8,6311,440,1
8,6377,432,1
8,6415,431,1
8,6424,434,1
8,6562,440,1
8,6572,600,1
8,6596,434,1
8,6650,440,1
8,6878,434,1
8,6897,434,1
8,6898,434,1
8,6929,431,1
8,6936,433,1
8,6983,440,1
8,6990,440,1
8,7008,600,1
8,7049,432,1
8,7073,440,1
8,7112,434,1
8,7167,598,1
8,7171,434,1
8,7277,434,1
8,7278,434,1
8,7292,434,1
8,7307,440,1
8,7392,434,1
9,387,938,7
9,424,949,7
9,428,906,7
9,499,954,7
9,503,949,7
9,504,949,7
9,547,949,7
9,548,949,7
9,719,907,7
9,726,917,7
9,727,917,7
9,731,911,7
9,743,952,7
9,835,907,7
9,836,907,7
9,1014,948,7
9,1027,901,7
9,1137,950,7
9,1636,917,7
9,2166,906,7
9,2197,951,7
9,2273,911,7
9,2276,871,7
9,2420,918,7
9,2426,906,7
9,2510,910,7
9,2651,911,7
9,2652,911,7
9,3117,938,7
9,3484,938,7
9,3622,961,7
9,3623,915,7
9,3624,915,7
9,3709,951,7
9,3711,951,7
9,3725,948,7
9,3784,917,7
9,3797,922,7
9,3807,907,7
9,3869,953,7
9,3870,909,7
9,3884,949,7
9,3902,949,7
9,3905,949,7
9,4004,911,7
9,4027,913,7
9,4097,948,7
9,4138,952,7
9,4149,915,7
9,4178,911,7
9,4338,907,7
9,4339,937,7
9,4343,911,7
9,4381,950,7
9,4382,911,7
9,4383,950,7
9,4409,952,7
9,4428,911,7
9,4428,917,7
9,4466,916,7
9,4479,907,7
9,4521,911,7
9,4607,912,7
9,4608,912,7
9,4664,938,7
9,4666,938,7
9,4831,953,7
9,4842,949,7
9,4843,949,7
9,4898,911,7
9,4900,948,7
9,4917,951,7
9,4974,871,7
9,4983,949,7
9,5004,961,7
9,5012,950,7
9,5091,948,7
9,5157,949,7
9,5208,938,7
9,5208,949,7
9,5275,907,7
9,5276,907,7
9,5286,938,7
9,5330,907,7
9,5352,907,7
9,5377,934,7
9,5447,949,7
9,5448,949,7
9,5457,948,7
9,5457,951,7
9,5461,949,7
9,5520,907,7
9,5568,949,7
9,5568,950,7
9,5568,951,7
9,5580,917,7
9,5586,908,7
9,5595,949,7
9,5596,949,7
9,5641,933,7
10,894,112,2
10,1551,104,2
10,2422,111,2
10,2618,64,2
10,3468,107,2
10,3469,105,2
10,3470,107,2
10,3661,110,2
10,3767,106,2
10,3785,115,2
10,3903,114,2
10,3915,108,2
10,4279,104,2
10,4911,238,2
10,5557,106,2
10,5657,115,2
10,5697,107,2
10,5720,107,2
10,5835,104,2
10,6173,114,2
10,6201,106,2
10,6500,105,2
10,6665,105,2
10,6985,104,2
10,7264,107,2
11,304,145,2
11,360,148,2
11,450,74,2
11,894,112,2
11,1060,77,2
11,1061,78,2
11,1062,78,2
11,1072,148,2
11,1787,79,2
11,2322,146,2
11,2422,111,2
11,2507,143,2
11,2525,513,2
11,2628,112,2
11,2639,117,2
11,3140,77,2
11,3373,79,2
11,3683,147,2
11,4047,148,2
11,4068,79,2
11,4116,146,2
11,4197,148,2
11,4337,145,2
11,4352,146,2
11,4638,79,2
11,4805,74,2
11,4806,74,2
11,5098,145,2
11,5348,529,2
11,5372,529,2
11,5485,529,2
11,5495,513,2
11,5618,521,2
11,5644,513,2
11,5768,147,2
11,5795,79,2
11,5915,75,2
11,5943,76,2
