id,locality_suburb
376,Ardlethan
377,Ardmona
378,Ardross
379,Ardrossan
380,Areegra
381,Areyonga
382,Argadargada Stn
383,Argalong
384,Argenton
385,Argents Hill
386,Argoon
387,Argyle
388,Argyll
389,Ariah Park
390,Arid Gold Farm
391,Arkarnana
392,Arkaroola
393,Arkaroola Village
394,Arkell
395,Arkstone
396,Armadale
397,Armagh
398,Armatree
399,Armidale
400,Armstrong
401,Armstrong Beach
402,Armstrong Creek
403,Arncliffe
404,Arndell Park
405,Arno Bay
406,Arnold
407,Arnold West
408,Aroona
409,Arrawarra
410,Arrawarra Headland
411,Arriga
412,Arrino
413,Arrowsmith
414,Arrowsmith East
415,Artarmon
416,Arthur River
417,Arthurs Creek
418,Arthurs Lake
419,Arthurs Seat
420,Arthurton
421,Arthurville
422,Arumpo
423,Arundel
424,Ascot
425,Ascot Park
426,Ascot Vale
427,Ash Island
428,Ashbourne
429,Ashburton
430,Ashbury
431,Ashby
432,Ashby Heights
433,Ashby Island
434,Ashcroft
435,Ashendon
436,Ashfield
437,Ashford
438,Ashgrove
439,Ashley
440,Ashmont
441,Ashmore
442,Ashton
443,Ashtonfield
444,Ashville
445,Ashwell
446,Ashwood
447,Aspendale
448,Aspendale Gardens
449,Aspley
450,Asquith
451,Athelstone
452,Atherton
453,Athlone
454,Athol
455,Athol Park
456,Atholwood
457,Atkinsons Dam
458,Attadale
459,Attunga
460,Attwood
461,Atwell
462,Aubigny
463,Aubin Grove
464,Aubrey
465,Auburn
466,Auburn Vale
467,Auchenflower
468,Auchmore
469,Audley
470,Augathella
471,Augusta
472,Augustine Heights
473,Auldana
474,Aurukun
475,Austinmer
476,Austins Ferry
477,Austinville
478,Austral
479,Austral Eden
480,Australia Plains
481,Australind
482,Avalon
483,Avalon Beach
484,Aveley
485,Avenel
486,Avenell Heights
487,Avenue Range
488,Avisford
489,Avoca
490,Avoca Beach
491,Avoca Dell
492,Avoca Vale
493,Avocado Heights
494,Avon
495,Avon Plains
496,Avon Valley National Park
497,Avondale
498,Avondale Heights
499,Avonmore
500,Avonside
501,Avonsleigh
502,Awaba
503,Axe Creek
504,Axedale
505,Aylmerton
506,Ayr
507,Ayrford
508,Ayton
509,Baan Baa
510,Baandee
511,Babakin
512,Babbage Island
513,Babinda
514,Babyl Creek
515,Bacchus Marsh
516,Back Creek
517,Back Forest
518,Back Plains
519,Back Valley
520,Backmede
521,Backwater
522,Backy Point
523,Baddaginnie
524,Baden
525,Badgebup
526,Badger Corner
527,Badger Creek
528,Badger Head
529,Badgerin Rock
530,Badgerys Creek
531,Badgin
532,Badgingarra
533,Badja
534,Badjaling
535,Badu Island
536,Bael Bael
537,Baerami
538,Baerami Creek
539,Baffle Creek
540,Baffle West
541,Bagdad
542,Bagnoo
543,Bago
544,Bagot
545,Bagot Well
546,Bagotville
547,Bagshot
548,Bagshot North
549,Bahgallah
550,Bahrs Scrub
551,Bailieston
552,Bailup
553,Baird Bay
554,Bairnsdale
555,Bajool
556,Bakara
557,Bakara Well
558,Bakers Beach
559,Bakers Bend
560,Bakers Creek
561,Bakers Hill
562,Bakers Swamp
563,Bakery Hill
564,Bakewell
565,Baking Board
566,Balaclava
567,Balah
568,Balaklava
569,Balala
570,Balarang
571,Balbarrup
572,Balberra
573,Balcatta
574,Balcolyn
575,Balcomba
576,Bald Blair
577,Bald Hills
578,Bald Knob
579,Bald Nob
580,Bald Ridge
581,Baldersleigh
582,Baldina
583,Baldivis
584,Baldry
585,Balfes Creek
586,Balfours Peak
587,Balga
588,Balgal Beach
589,Balgowan
590,Balgowlah
591,Balgowlah Heights
592,Balgownie
593,Balhannah
594,Balickera
595,Balingup
596,Balintore
597,Balkuling
598,Ball Bay
599,Balla Balla
600,Balladong
601,Balladonia
602,Balladoran
603,Ballajura
604,Ballalaba
605,Ballan
606,Ballandean
607,Ballangeich
608,Ballapur
609,Ballarat
610,Ballarat Central
611,Ballarat East
612,Ballarat North
613,Ballard
614,Ballaroo
615,Ballast Head
616,Ballaying
617,Balldale
618,Ballendella
619,Ballengarra
620,Balliang
621,Balliang East
622,Ballidu
623,Ballimore
624,Ballina
625,Ballina Heights
626,Ballingal
627,Ballogie
628,Bally Bally
629,Ballyroe
630,Ballyrogan
631,Balmain
632,Balmain East
633,Balmattum
634,Balmoral
635,Balmoral Ridge
636,Balnagowan
637,Balnarring
638,Balnarring Beach
639,Balook
640,Balranald
641,Balwyn
642,Balwyn North
643,Bamaga
644,Bamarang
645,Bamawm
646,Bamawm Extension
647,Bambaroo
648,Bamboo
649,Bamboo Creek
650,Bambra
651,Bambun
652,Bamford
653,Bamganie
654,Ban Ban
655,Ban Ban Springs
656,Banana
657,Banca
658,Bancroft
659,Banda Banda
660,Bandiana
661,Bandon Grove
662,Bandy Creek
663,Bandya
664,Bangadang
665,Bangalee
666,Bangalow
