id,name_first,name_last,electorate,party
10929,Helen,Haines,Indi,Independent
10930,Kate,Thwaites,Jagajaga,Australian Labor Party
10931,Anika,Wells,Lilley,Australian Labor Party
10932,Melissa,McIntosh,Lindsay,Liberal Party
10933,Terry,Young,Longman,Liberal National Party
10934,Josh,Burns,Macnamara,Australian Labor Party
10935,Anne,Webster,Mallee,National Party
10936,Angie,Bell,Moncrieff,Liberal National Party
10937,Fiona,Martin,Reid,Liberal Party
10938,Julian,Simmonds,Ryan,Liberal National Party
10939,Vince,Connelly,Stirling,Liberal Party
10940,James,Stevens,Sturt,Liberal Party
10941,Zali,Steggall,Warringah,Independent
10942,Dave,Sharma,Wentworth,Liberal Party
10245,Steve,Georganas,Adelaide,Australian Labor Party
10069,Russell,Broadbent,Monash,Liberal Party
10086,Mark,Butler,Hindmarsh,Australian Labor Party
10111,Nick,Champion,Spence,Australian Labor Party
10727,Andrew,Wilkie,Clark,Independent
10875,Damian,Drum,Nicholls,National Party
10907,Ged,Kearney,Cooper,Australian Labor Party
10910,David,Smith,Bean,Australian Labor Party
10960,Kristy,McBain,Eden-Monaro,Australian Labor Party
10963,Garth,Hamilton,Groom,Liberal National Party
